city,library,msIdentifier,msItem,extent,Diktyon,origDate_notBefore,origDate_notAfter,affiliation_naoumides,note,studied
Alexandria,Βιβλιοθήκη του Πατριαρχείου,71 (olim 219),,ff. 1r-125v,32958,?,?,NOT CYR. - Zonaras,,no
Alexandria,Βιβλιοθήκη του Πατριαρχείου,235 (olim 310),,ff. 148r-333r,33122,?,?,,,no
Alexandria,Βιβλιοθήκη του Πατριαρχείου,264 (olim 218),,ff. 1r-120v,33151,1400,1500,,,no
Alexandria,Βιβλιοθήκη του Πατριαρχείου,360 (olim 217),,ff. 1r-179v,33247,1400,1500,NOT CYR. - Zonaras,,no
Ankara,"Turk Tarih Kurumy Library, Ἑλλην. Φιλολ. Συλλόγου Κωνσταντινουπόλεως",64,,entire manuscript,740,1771,1772,,,no
Athens,National Library of Greece,1080,,/,3376,1500,1700,NOT CYR.,,yes
Athens,National Library of Greece,1089,,/,3385,1200,1400,NOT CYR.,,yes
Athens,National Library of Greece,1090,,/,3386,1500,1600,NOT CYR.,,yes
Athens,National Library of Greece,1097,,/,3393,1200,1400,NOT CYR.,,yes
Athens,National Library of Greece,1197,,ff. 18r-192r,3493,1500,1600,partial witness of the Synangoge,"Cyril from α to ι, Synagoge from κ to σ, Zonaras from σ to ω",yes
Athens,Βιβλιοθήκη της βουλής,84,,ff. 19r-42r,1180,1300,1400,NOT CYR.,Lexica minora,yes
Athens,Βυζαντινό και Χριστιανικό Μουσείο,19694 (Pallas 119),,ff. 1r-52r,1665,1500,1600,questionable affiliation,,yes
Athens,Βυζαντινό και Χριστιανικό Μουσείο,19540 (Pallas 186),,"ff. 2-43, 46-53",1595,1500,1600,rec. v,,yes
Athens,Βυζαντινό και Χριστιανικό Μουσείο,19540 (Pallas 186),,"ff. 1, 44-45, 56-134, 147",1595,1200,1300,"close to the rec g, especially to Vind. phil. gr. 319, Laur. 58.30, and Vall. F 84",,yes
Athens,Εθνικό Ιστορικό Μουσείο,249,,1r-49v,7784,1700?,1800?,NOT CYR.,,no
Athens,Θεολογικό Σπουδαστήριο,47,,ff. 1r-98r,8635,1200,1400,partial witness of the Synangoge,"Cyril from α to ι, Synagoge from κ to ω",yes
Athens,Μετοχίου του Παναγίου Τάφου,43,,entire manuscript,6440,1400,1500,,Et. Gudianum et Genuinum ,no
Athens,Μετοχίου του Παναγίου Τάφου,359,,?,6756,1500,1600,,,no
Athos,Μονή Βατοπεδίου,418,,entire manuscript,18562,1200,1300,rec. v,,no
Athos,Μονή Βατοπεδίου,514,,ff. 54r-104r,18658,1500,1600,NOT CYR. - Zonaras,,yes
Athos,Μονή Διονυσίου,224 (Lambros 3758; nunc 465),,pp. 635-759,20192,1500,1600,NOT CYR. - Zonaras,,yes
Athos,Μονή Διονυσίου,334 (Lambros 3868; nunc 539),,ff. 226r-249r,20302,1400,1500,Zonara ff. 226r-229r + Cyrillus from f. 229r (unfinished),,yes
Athos,Μονή Διονυσίου,355 (Lambros 3889; nunc 195),,ff. 5r-68r,20323,1200,1300,rec. g,,yes
Athos,Μονή ἱβήρων,77,,ff. 1r-223r,23674,1400,1500,"questionable affiliation, Zonaras?",,yes
Athos,Μονή ἱβήρων,78,,ff. 104v-110v,23675,1500,1600,likely not Cyr.,,no
Athos,Μονή ἱβήρων,92,,"ff. 35-152v, ff. 342v-345",23689,1500,1600,"questionable affiliation, from f. 35r; Non-Cyrillus, a broader (?) collection with Cyrillean elements",,yes
Athos,Μονή ἱβήρων,371,,?,23968,1500,1600,,likely not Cyr.,no
Athos,Μονή ἱβήρων,382,,ff. 927-961v,23979,1400,1500,questionable affiliation,,yes
Athos,Μονή ἱβήρων,742,,last content of the manuscript,24337,1500,1600,,,no
Athos,Μονή Μεγ. Λαύρας,H 18 (Eustratiades 0673),,ff. 1r-57r (initio mutilo),27690,1600,1700,questionable affiliation; descr. missing,N. probabilmente non vi ha avuto accesso,yes
